# s  W0^2        W2^2        W4^2        W6^2        W8^2
3.270556559718185596e+00 7.087728582752784723e-01 1.998260461508785668e-02 4.314452453604284560e-02 3.001302222597089162e-03 3.324448916119406017e-02
3.272910786934026817e+00 7.087440435475939049e-01 1.996740682093806063e-02 4.312648900665419505e-02 3.035028854023793903e-03 3.322423759645770636e-02
3.275266708780637970e+00 7.087152491023561707e-01 1.995222433346537788e-02 4.310844376397790501e-02 3.068681669099156475e-03 3.320401665029634047e-02
3.277624326477857952e+00 7.086864749249872641e-01 1.993705714534559428e-02 4.309038882600425835e-02 3.102260730655905050e-03 3.318382628776286869e-02
3.279983641246399628e+00 7.086577210009095129e-01 1.992190524925451997e-02 4.307232421072357959e-02 3.135766101526727030e-03 3.316366647391028044e-02
3.282344654307859155e+00 7.086289873155450225e-01 1.990676863786795814e-02 4.305424993612613077e-02 3.169197844544350585e-03 3.314353717379150965e-02
3.284707366884707547e+00 7.086002738543163426e-01 1.989164730386172933e-02 4.303616602020225029e-02 3.202556022541457482e-03 3.312343835245953882e-02
3.287071780200298221e+00 7.085715806026453567e-01 1.987654123991161245e-02 4.301807248094220021e-02 3.235840698350769817e-03 3.310336997496730882e-02
3.289437895478867002e+00 7.085429075459546144e-01 1.986145043869342111e-02 4.299996933633628421e-02 3.269051934805012292e-03 3.308333200636776744e-02
3.291805713945525902e+00 7.085142546696663324e-01 1.984637489288297238e-02 4.298185660437485456e-02 3.302189794736851928e-03 3.306332441171391107e-02
3.294175236826273334e+00 7.084856219592020610e-01 1.983131459515604864e-02 4.296373430304811086e-02 3.335254340979014725e-03 3.304334715605863892e-02
3.296546465347987898e+00 7.084570093999846829e-01 1.981626953818846001e-02 4.294560245034641927e-02 3.368245636364219746e-03 3.302340020445495433e-02
3.298919400738432817e+00 7.084284169774365258e-01 1.980123971465602012e-02 4.292746106426006958e-02 3.401163743725160032e-03 3.300348352195579815e-02
3.301294044226253277e+00 7.083998446769792512e-01 1.978622511723452174e-02 4.290931016277935162e-02 3.434008725894536866e-03 3.298359707361412513e-02
3.303670397040979978e+00 7.083712924840356306e-01 1.977122573859978888e-02 4.289114976389456213e-02 3.466780645705063238e-03 3.296374082448289000e-02
3.306048460413029577e+00 7.083427603840274367e-01 1.975624157142759699e-02 4.287297988559599787e-02 3.499479565989459078e-03 3.294391473961505445e-02
